,School Name,School District,Street Address,Grades Served,Overall Rating
2730,Fredericksburg Pri,Fredericksburg ISD,"1110 S Adams St, Fredericksburg, TX 78624",Early Education - Grade 1,C
2731,Fredonia Elem,Nacogdoches ISD,"1326 S Fredonia St, Nacogdoches, TX 75964",Prekindergarten - Grade 5,B
2732,Freedom Elem,Southside ISD,"3845 S Loop 1604 E, San Antonio, TX 78264",Grade 1 - Grade 5,B
2733,Freedom Elem,Keller ISD,"5401 Wall-Price, Keller, TX 76244",Kindergarten - Grade 4,B
2734,Freedom Elem,United ISD,"415 Eg Ranch Rd, Laredo, TX 78043",Prekindergarten - Grade 5,A
2735,Freeman Elem,Carrollton-Farmers Branch ISD,"8757 Valley Ranch Pkwy, Irving, TX 75063",Prekindergarten - Grade 5,B
2736,Freeman Elem,Garland ISD,"1220 Walnut St, Garland, TX 75040",Early Education - Grade 5,Not Rated
2737,Freeman Elem,Pasadena ISD,"2323 Theta St, Houston, TX 77034",Early Education - Grade 4,B
2738,Freeport Elem,Brazosport ISD,"431 W Fourth St, Freeport, TX 77541",Early Education - Grade 2,B
2739,Freeport Int,Brazosport ISD,"1815 W Fourth St, Freeport, TX 77541",Grade 7 - Grade 8,B
2740,Freer HS,Freer ISD,"905 S Norton, Freer, TX 78357",Grade 9 - Grade 12,B
2741,Freiheit Elem,Comal ISD,"2002 FM 1101, New Braunfels, TX 78130",Early Education - Grade 5,C
2742,French Elem,Klein ISD,"5802 W Rayford Rd, Spring, TX 77389",Prekindergarten - Grade 5,A
2743,Frenship HS,Frenship ISD,"902 N Dowden Rd, Wolfforth, TX 79382",Grade 9 - Grade 12,B
2744,Frenship MS,Frenship ISD,"500 Main St, Wolfforth, TX 79382",Grade 6 - Grade 8,B
2745,Friendship Elem,Keller ISD,"5400 Shiver Rd, Keller, TX 76244",Early Education - Grade 4,C
2746,Friendswood HS,Friendswood ISD,"702 Greenbriar Dr, Friendswood, TX 77546",Grade 9 - Grade 12,A
2747,Friendswood JH,Friendswood ISD,"1000 Manison Pkwy, Friendswood, TX 77546",Grade 6 - Grade 8,A
2748,Friona Elem,Friona ISD,"200 W 8th, Friona, TX 79035",Grade 2 - Grade 5,C
2749,Friona HS,Friona ISD,"810 Chieftain Way, Friona, TX 79035",Grade 9 - Grade 12,B
2750,Friona JH,Friona ISD,"1001 Euclid, Friona, TX 79035",Grade 6 - Grade 8,C
2751,Friona Pri,Friona ISD,"300 W 8th, Friona, TX 79035",Early Education - Grade 1,C
2752,Frisco HS,Frisco ISD,"6401 Parkwood Blvd, Frisco, TX 75034",Grade 9 - Grade 12,A
2753,Frontier Elem,Angleton ISD,"5200 Airline Dr, Angleton, TX 77515",Early Education - Grade 5,A
2754,Frost Elem,Lamar CISD,"3306 Skinner Ln, Richmond, TX 77406",Early Education - Grade 5,A
2755,Frost Elem,Houston ISD,"5002 Almeda-Genoa Rd, Houston, TX 77048",Prekindergarten - Grade 5,C
2756,Frost Elem,Frost ISD,"208 N Wyrick, Frost, TX 76641",Prekindergarten - Grade 5,C
2757,Frost Elem,Georgetown ISD,"711 Lakeway Dr, Georgetown, TX 78628",Early Education - Grade 5,B
2758,Frost HS,Frost ISD,"208 N Wyrick, Frost, TX 76641",Grade 6 - Grade 12,C
2759,Frostwood Elem,Spring Branch ISD,"12214 Memorial Dr, Houston, TX 77024",Kindergarten - Grade 5,A
2760,Fruitvale HS,Fruitvale ISD,"141 VZCR 1901, Fruitvale, TX 75127",Grade 9 - Grade 12,A
2761,Fruitvale MS,Fruitvale ISD,"141 VZCR 1901, Fruitvale, TX 75127",Grade 6 - Grade 8,B
2762,Fry Int,Texas City ISD,"300 Twenty Fifth Ave N, Texas City, TX 77590",Grade 5 - Grade 6,C
2763,Ft Concho Elem,San Angelo ISD,"310 E Washington Dr, San Angelo, TX 76903",Kindergarten - Grade 5,B
2764,Ft Davis School,Ft Davis ISD,"401 W Webster Ave, Ft Davis, TX 79734",Prekindergarten - Grade 12,B
2765,Ft Sam Houston Elem,Ft Sam Houston ISD,"4351 Nursery Rd, San Antonio, TX 78234",Early Education - Grade 5,B
2766,Fulshear HS,Lamar CISD,"9302 Charger Way, Fulshear, TX 77441",Grade 9 - Grade 12,A
2767,Fulton Learning Center,Aransas County ISD,"314 N 6th St, Fulton, TX 78358",Grade 3 - Grade 5,Not Rated
2768,Furneaux Elem,Carrollton-Farmers Branch ISD,"3210 Furneaux Rd, Carrollton, TX 75007",Prekindergarten - Grade 5,B
2769,Furr HS,Houston ISD,"520 Mercury, Houston, TX 77013",Grade 9 - Grade 12,C
2770,G E 'Buddy' West Elem,Ector County ISD,"2225 W Sycamore Dr, Odessa, TX 79763",Kindergarten - Grade 5,C
2771,G H Whitcomb Elem,Clear Creek ISD,"900 Reseda Dr, Houston, TX 77062",Early Education - Grade 5,B
2772,G L Wiley Opportunity Center,Waco ISD,"1030 E Live Oak St, Waco, TX 76704",Grade 3 - Grade 12,Not Rated
2773,G W Carver 6th Grade STEM Learning Center,Lancaster ISD,"1005 Westridge, Lancaster, TX 75146",Grade 6,Not Rated
2774,G W Carver Early Childhood Center,Ennis ISD,"600 E Mlk Dr, Ennis, TX 75119",Prekindergarten - Kindergarten,B
2775,G W Carver MS,Waco ISD,"500 University Parks Ave, Waco, TX 76701",Grade 6 - Grade 8,Not Rated
2776,G W Harby JH,Alvin ISD,"1910 Rosharon Rd, Alvin, TX 77511",Grade 6 - Grade 8,B
2777,G W Kennemer MS,Duncanville ISD,"7101 W Wheatland Rd, Dallas, TX 75249",Grade 6 - Grade 8,B
2778,G W Robinson,Clear Creek ISD,"451 Kirby, Seabrook, TX 77586",Kindergarten - Grade 5,A
2779,GW Bradford Pri,Rusk ISD,"440 Collins St, Rusk, TX 75785",Early Education - Grade 1,B
2780,Gabe P Allen Charter School,Dallas ISD,"5220 Nomas St, Dallas, TX 75212",Prekindergarten - Grade 6,C
2781,Gainesville HS,Gainesville ISD,"2201 S I-35, Gainesville, TX 76240",Grade 9 - Grade 12,B
2782,Gainesville Int,Gainesville ISD,"2100 N Grand Ave, Gainesville, TX 76240",Grade 5 - Grade 6,Not Rated
2783,Gainesville JH,Gainesville ISD,"1201 Lindsay St, Gainesville, TX 76240",Grade 7 - Grade 8,B
2784,Galatas Elem,Conroe ISD,"9001 Cochrans Crossing Dr, The Woodlands, TX 77381",Early Education - Grade 4,A
2785,Gale Pond Alamo Elem,Ector County ISD,"801 E 23rd St, Odessa, TX 79760",Prekindergarten - Grade 5,A
2786,Galena Park Elem,Galena Park ISD,"401 N Main, Galena Park, TX 77547",Prekindergarten - Grade 5,A
2787,Galena Park HS,Galena Park ISD,"1000 Keene, Galena Park, TX 77547",Grade 9 - Grade 12,B
2788,Galena Park ISD Career & Technical ECHS,Galena Park ISD,"5800 Uvalde, Houston, TX 77049",Grade 9 - Grade 12,A
2789,Galena Park MS,Galena Park ISD,"400 Keene, Galena Park, TX 77547",Grade 6 - Grade 8,B
2790,Galindo Elem,Austin ISD,"3800 S 2nd St, Austin, TX 78704",Prekindergarten - Grade 5,B
2791,Gallegos Elem,Brownsville ISD,"2700 Avenida Rancho Viejo, Brownsville, TX 78521",Prekindergarten - Grade 5,A
2792,Gallegos Elem,Houston ISD,"7415 Harrisburg Blvd, Houston, TX 77011",Early Education - Grade 5,B
2793,Galloway Elem,Mesquite ISD,"200 Clary Dr, Mesquite, TX 75149",Prekindergarten - Grade 5,B
2794,Galm Elem,Northside ISD,"1454 Saxon Hill Dr, San Antonio, TX 78253",Prekindergarten - Grade 5,B
2795,Galvan Elem,Corpus Christi ISD,"3126 Masterson Dr, Corpus Christi, TX 78415",Early Education - Grade 5,B
2796,Galveston Co Detention Ctr,Dickinson ISD,"6101 Attwater, Dickinson, TX 77539",Grade 7 - Grade 11,Not Rated
2797,Galveston Co JJAEP,Galveston ISD,"3904 Ave T, Galveston, TX 77553",Grade 9,Not Rated
2798,Game Development Design School at Burleson ISD,Burleson ISD,"510 SW Wilshire Blvd, Burleson, TX 76028",Grade 6 - Grade 11,B
2799,Ganado Elem,Ganado ISD,"500 W Sutherland, Ganado, TX 77962",Early Education - Grade 5,A
2800,Ganado HS,Ganado ISD,"501 W Devers, Ganado, TX 77962",Grade 9 - Grade 12,B
2801,Ganado JH,Ganado ISD,"501 W Devers, Ganado, TX 77962",Grade 6 - Grade 8,C
2802,Garcia Elem,Houston ISD,"9550 Aldine Westfield Rd, Houston, TX 77093",Early Education - Grade 5,B
2803,Garcia Elem,Corpus Christi ISD,"1945 Gollihar Rd, Corpus Christi, TX 78416",Prekindergarten - Grade 5,B
2804,Garcia MS,Northside ISD,"14900 Kyle Seale Pkwy, San Antonio, TX 78255",Grade 6 - Grade 8,B
2805,Garcia MS,Brownsville ISD,"5701 FM 802, Brownsville, TX 78521",Grade 6 - Grade 8,B
2806,Garcia MS,Aldine ISD,"11000 Rosslyn Rd, Houston, TX 77038",Grade 6 - Grade 8,C
2807,Garcia YMLA,Austin ISD,"7414 Johnny Morris Rd, Austin, TX 78724",Grade 6 - Grade 8,C
2808,Garcia-Leza EC/PK/K,Aldine ISD,"5311 E Mount Houston Rd, Houston, TX 77093",Early Education - Kindergarten,B
2809,Garden City Elem,Glasscock County ISD,"240 W Bearkat Ave, Garden City, TX 79739",Prekindergarten - Grade 5,A
2810,Garden City HS,Glasscock County ISD,"240 W Bearkat Ave, Garden City, TX 79739",Grade 6 - Grade 12,A
2811,Garden Oaks Montessori,Houston ISD,"901 Sue Barnett Dr, Houston, TX 77018",Early Education - Grade 8,B
2812,Garden Park Elem,Brownsville ISD,"855 Military Hwy, Brownsville, TX 78520",Prekindergarten - Grade 5,A
2813,Garden Ridge Elem,Comal ISD,"9401 Municipal Pkwy, Garden Ridge, TX 78266",Early Education - Grade 5,A
2814,Garden Ridge Elem,Lewisville ISD,"2220 S Garden Ridge Blvd, Flower Mound, TX 75028",Early Education - Grade 5,A
2815,Garden Villas Elem,Houston ISD,"7185 Santa Fe, Houston, TX 77061",Prekindergarten - Grade 5,B
2816,Gardendale PK 4 SA Early Learning,Edgewood ISD,"1731 Dahlgreen Ave, San Antonio, TX 78237",Prekindergarten - Grade 2,C
2817,Gardens Elem,Pasadena ISD,"1107 Harris Ave, Pasadena, TX 77506",Early Education - Grade 4,B
2818,Garfield Elem,Pasadena ISD,"10301 Hartsook St, Houston, TX 77034",Prekindergarten - Grade 4,B
2819,Garfield Elem,San Felipe-Del Rio CISD,"300 W Martin, Del Rio, TX 78840",Kindergarten - Grade 5,B
2820,Garland AEC,Garland ISD,"2015 S Country Club Rd, Garland, TX 75041",Grade 4 - Grade 12,Not Rated
2821,Garland HS,Garland ISD,"310 S Garland Ave, Garland, TX 75040",Grade 9 - Grade 12,B
2822,Garland Mcmeans JH,Katy ISD,"21001 Westheimer Pkwy, Katy, TX 77450",Grade 6 - Grade 8,A
2823,Garner Fine Arts Academy,Grand Prairie ISD,"145 Polo Rd, Grand Prairie, TX 75052",Prekindergarten - Grade 5,A
2824,Garner ISD,Garner ISD,"2222 Garner School Rd, Weatherford, TX 76088",Prekindergarten - Grade 9,B
2825,Garner MS,North East ISD,"4302 Harry Wurzbach Rd, San Antonio, TX 78209",Grade 6 - Grade 8,C
2826,Garrett Elem,Sheldon ISD,"12017 Garrett Rd, Houston, TX 77044",Grade 1 - Grade 5,B
2827,Garrett Pri,Lufkin ISD,"229 Leach St, Lufkin, TX 75904",Prekindergarten,B
2828,Garriga Elem,Point Isabel ISD,"200 W Adams, Port Isabel, TX 78578",Prekindergarten - Grade 5,B
2829,Garrison Elem,Garrison ISD,"459 N US Hwy 59, Garrison, TX 75946",Early Education - Grade 5,B
2830,Garrison HS,Garrison ISD,"459 N US Hwy 59, Garrison, TX 75946",Grade 9 - Grade 12,B
2831,Garrison MS,Garrison ISD,"459 N US Hwy 59, Garrison, TX 75946",Grade 6 - Grade 8,B
2832,Garwood Elem,Rice CISD,"7827 Hwy 71 S, Garwood, TX 77442",Kindergarten - Grade 5,A
2833,Gary School,Gary ISD,"132 Bobcat Trl, Gary, TX 75643",Prekindergarten - Grade 12,B
2834,Gary W Campbell HS,Kaufman ISD,"3507 S Houston St, Kaufman, TX 75142",Grade 9 - Grade 12,A
2835,Gary and Bobbye Jack Minshew Elem,McKinney ISD,"300 Joplin Dr, McKinney, TX 75071",Kindergarten - Grade 5,A
2836,Garza Elem,Brownsville ISD,"200 Esperanza Rd, Brownsville, TX 78521",Prekindergarten - Grade 5,A
2837,Garza Elem,McAllen ISD,"6300 N 29th St, McAllen, TX 78504",Prekindergarten - Grade 5,A
2838,Garza Independence HS,Austin ISD,"1600 Chicon, Austin, TX 78702",Grade 11 - Grade 12,A
2839,Gates Elem,San Antonio ISD,"510 Morningview Dr, San Antonio, TX 78220",Prekindergarten - Grade 6,B
2840,Gatesville Elem,Gatesville ISD,"2537 E Main St, Gatesville, TX 76528",Grade 1 - Grade 3,B
2841,Gatesville HS,Gatesville ISD,"205 S Lovers Ln, Gatesville, TX 76528",Grade 9 - Grade 12,B
2842,Gatesville Int,Gatesville ISD,"311 Hornet Way, Gatesville, TX 76528",Grade 4 - Grade 6,C
2843,Gatesville JH,Gatesville ISD,"307 S Lovers Ln, Gatesville, TX 76528",Grade 7 - Grade 8,B
2844,Gatesville Pri,Gatesville ISD,"308 Hornet Way, Gatesville, TX 76528",Early Education - Kindergarten,B
2845,Gateway Charter Academy,Gateway Charter Academy,"6103 University Hills Blvd, Dallas, TX 75241",Prekindergarten - Grade 5,Not Rated
2846,Gateway Charter Academy - MS - HS,Gateway Charter Academy,"1015 E Wheatland Rd, Dallas, TX 75241",Grade 6 - Grade 12,B
2847,Gateway College Preparatory School,Orenda Charter School,"3360 Westinghouse Rd, Georgetown, TX 78626",Kindergarten - Grade 12,A
2848,Gateway Elem,Borger ISD,"401 Tristram, Borger, TX 79007",Grade 1 - Grade 2,C
2849,Gateway HS,Killeen ISD,"4100 Zephyr Rd, Killeen, TX 76543",Grade 9 - Grade 12,Not Rated
2850,Gateway MS,Killeen ISD,"1307 Gowen Dr, Killeen, TX 76543",Grade 6 - Grade 8,Not Rated
2851,Gateway Student Support Ctr,Burkburnett ISD,"200 E Third, Burkburnett, TX 76354",Grade 10 - Grade 12,C
2852,Gateway Tech HS,Orenda Charter School,"2951 Williams Dr, Georgetown, TX 78628",Grade 6 - Grade 12,A
2853,Gateway to Graduation Academy,San Benito CISD,"450 S Dowling St, San Benito, TX 78586",Grade 9 - Grade 12,Not Rated
2854,Gattis Elem,Round Rock ISD,"2920 Round Rock Ranch Rd, Round Rock, TX 78664",Early Education - Grade 5,B
2855,Gause Elem,Gause ISD,"400 College, Gause, TX 77857",Prekindergarten - Grade 8,B
2856,Gene Howe Elem,Canyon ISD,"5108 Pico, Amarillo, TX 79110",Kindergarten - Grade 4,A
2857,Gene M Reed Elem,Allen ISD,"1200 Rivercrest Blvd, Allen, TX 75002",Early Education - Grade 6,A
2858,Gene Pike MS,Northwest ISD,"2200 Texan Dr, Justin, TX 76247",Grade 6 - Grade 8,B
2859,General Douglas MacArthur PK-8,El Paso ISD,"8101 Whitus Dr, El Paso, TX 79925",Prekindergarten - Grade 8,B
2860,General Ricardo Sanchez Elem,Rio Grande City Grulla ISD,"2801 W Eisenhower St, Rio Grande City, TX 78582",Prekindergarten - Grade 5,B
2861,General Tommy Franks Elem,Midland ISD,"401 E Parker Ave, Midland, TX 79701",Early Education - Grade 6,B
2862,Genesis Campus PK Thru 5,A W Brown Leadership Academy,"6901 S Westmoreland Rd, Dallas, TX 75237",Prekindergarten - Grade 5,C
2863,Genesis HS,Bastrop ISD,"1602 Hill St, Bastrop, TX 78602",Grade 9 - Grade 12,C
2864,Geneva Heights Elem,Dallas ISD,"6606 Ridgecrest Rd, Dallas, TX 75231",Early Education - Grade 5,C
2865,Genoa Elem,Pasadena ISD,"12900 Almeda Genoa Rd, Houston, TX 77034",Early Education - Grade 4,B
2866,Gentry Elem,Mesquite ISD,"1901 Twin Oaks Dr, Mesquite, TX 75181",Early Education - Grade 5,B
2867,Gentry JH,Goose Creek CISD,"1919 E Archer Rd, Baytown, TX 77521",Grade 6 - Grade 8,B
2868,George B Dealey Montessori Academy,Dallas ISD,"6501 Royal Ln, Dallas, TX 75230",Prekindergarten - Grade 8,B
2869,George Bush HS,Fort Bend ISD,"6707 FM 1464, Richmond, TX 77407",Grade 9 - Grade 12,C
2870,George Clarke Elem,Fort Worth ISD,"3300 S Henderson St, Fort Worth, TX 76110",Prekindergarten - Grade 5,B
2871,George Cullender Kind,Monahans-Wickett-Pyote ISD,"1100 S Leon Ave, Monahans, TX 79756",Early Education - Kindergarten,B
2872,George Dawson MS,Carroll ISD,"400 S Kimball Ave, Southlake, TX 76092",Grade 7 - Grade 8,A
2873,George E Kelly Elem,San Antonio ISD,"1026 Thompson Pl, San Antonio, TX 78226",Prekindergarten - Grade 5,A
2874,George Gervin Academy,George Gervin Academy,"6944 S Sunbelt Dr, San Antonio, TX 78218",Prekindergarten - Grade 12,B
2875,George H W Bush New Tech Odessa,Ector County ISD,"300 E 29th St, Odessa, TX 79761",Grade 9 - Grade 12,A
2876,George Herbert Walker Bush Elem,Dallas ISD,"3939 Spring Valley Rd, Addison, TX 75001",Early Education - Grade 5,B
2877,George I Sanchez Charter,George I Sanchez Charter,"6001 Gulf Fwy Bldg B3, Houston, TX 77023",Prekindergarten - Grade 12,B
2878,George I Sanchez North,George I Sanchez Charter,"215 Rittenhouse St, Houston, TX 77076",Grade 6 - Grade 12,C
2879,George J Anderson Elem,Allen ISD,"305 N Alder Dr, Allen, TX 75002",Kindergarten - Grade 6,A
2880,George JH,Lamar CISD,"4601 Airport Rd, Rosenberg, TX 77471",Grade 6 - Grade 8,C
2881,George Peabody Elem,Dallas ISD,"2940 Singleton Blvd, Dallas, TX 75212",Prekindergarten - Grade 6,B
2882,George Ranch HS,Lamar CISD,"8181 FM 762, Richmond, TX 77469",Grade 9 - Grade 12,A
2883,George W Bush Elem,Wylie ISD,"2000 Eagle Aerie Ln, St Paul, TX 75098",Kindergarten - Grade 4,A
2884,George W Carver Early Education Center,Lockhart ISD,"371 Carver, Lockhart, TX 78644",Early Education - Prekindergarten,C
2885,George W Truett Elem,Dallas ISD,"1811 Gross Rd, Dallas, TX 75228",Early Education - Grade 5,B
2886,George Wagner MS,Georgetown ISD,"507 E University Ave, Georgetown, TX 78626",Grade 6 - Grade 8,Not Rated
2887,George Washington Carver Early Childhood Academy,Amarillo ISD,"1800 N Travis, Amarillo, TX 79107",Early Education - Grade 1,B
2888,George Washington Carver Elem,Garland ISD,"2200 Wynn Joyce, Garland, TX 75043",Early Education - Grade 5,B
2889,George Washington Carver Elem,Karnack ISD,"655 Fason St, Karnack, TX 75661",Prekindergarten - Grade 8,C
2890,George Washington Carver Elem Academy,Amarillo ISD,"1905 W 12th, Amarillo, TX 79107",Grade 2 - Grade 5,B
2891,George Washington MS,United ISD,"10306 Riverbank Dr, Laredo, TX 78045",Grade 6 - Grade 8,A
2892,George West Elem,George West ISD,"910 Houston St, George West, TX 78022",Grade 4 - Grade 6,B
2893,George West HS,George West ISD,"1013 Houston St, George West, TX 78022",Grade 9 - Grade 12,B
2894,George West JH,George West ISD,"900 Houston St, George West, TX 78022",Grade 7 - Grade 8,A
2895,George West Pri,George West ISD,"405 Travis St, George West, TX 78022",Early Education - Grade 3,A
2896,Georgetown Alter Prog,Georgetown ISD,"502 Patriot Way, Georgetown, TX 78626",Grade 7 - Grade 12,Not Rated
2897,Georgetown Behavioral Health Institute,University of Texas University Charter School,"3101 S Austin Ave, Georgetown, TX 78626",Grade 7 - Grade 11,Not Rated
2898,Georgetown Charter Academy,Priority Charter Schools,"302 Serenada, Georgetown, TX 78628",Prekindergarten - Grade 8,C
2899,Georgetown HS,Georgetown ISD,"2211 N Austin Ave, Georgetown, TX 78626",Grade 9 - Grade 12,B
2900,Geraldine Palmer Elem,Pharr-San Juan-Alamo ISD,"1200 W Hall Acres Rd, Pharr, TX 78577",Early Education - Grade 5,A
2901,Gerard Elem,Cleburne ISD,"1212 Hyde Park, Cleburne, TX 76033",Prekindergarten - Grade 5,B
2902,Gholson School,Gholson ISD,"137 Hamilton Dr, Waco, TX 76705",Prekindergarten - Grade 12,B
2903,Gibbs PK Center,Huntsville ISD,"1800 19th St, Huntsville, TX 77340",Early Education - Prekindergarten,C
2904,Gibson Elem,Corpus Christi ISD,"5723 Hampshire Rd, Corpus Christi, TX 78408",Prekindergarten - Grade 5,B
2905,Giddings Elem,Giddings ISD,"1402 E Industry St, Giddings, TX 78942",Early Education - Grade 3,B
2906,Giddings HS,Giddings ISD,"2337 N Main, Giddings, TX 78942",Grade 9 - Grade 12,A
2907,Giddings Int,Giddings ISD,"2337 N Main, Giddings, TX 78942",Grade 4 - Grade 5,B
2908,Giddings MS,Giddings ISD,"2248 N Main, Giddings, TX 78942",Grade 6 - Grade 8,B
2909,Giesinger Elem,Conroe ISD,"2323 White Oak Blvd, Conroe, TX 77304",Prekindergarten - Grade 4,B
2910,Gilbert Cuellar Sr Elem,Dallas ISD,"337 Pleasant Vista Dr, Dallas, TX 75217",Early Education - Grade 5,B
2911,Gilbert F M Elem,Irving ISD,"1501 E Pioneer Dr, Irving, TX 75061",Early Education - Grade 5,B
2912,Gilbert Gerdes JH,Luling ISD,"214 E Bowie St, Luling, TX 78648",Grade 6 - Grade 8,C
2913,Gilbert Int,Stephenville ISD,"950 N Dale, Stephenville, TX 76401",Grade 5 - Grade 6,C
2914,Gilbert J Mircovich Elem,Ingleside ISD,"2720 Big Oak Ln, Ingleside, TX 78362",Grade 3 - Grade 5,A
2915,Gilbert Willie Sr Elem,Terrell ISD,"1400 S Rockwall Ave, Terrell, TX 75160",Kindergarten - Grade 5,B
2916,Giles MS,Texas City ISD,"7451 Monticello, Texas City, TX 77591",Grade 6 - Grade 8,C
2917,Gillespie County HS,Fredericksburg ISD,"1110 S Adams, Fredericksburg, TX 78624",Grade 11 - Grade 12,B
2918,Gillett MS,Kingsville ISD,"1007 N 17th St, Kingsville, TX 78363",Grade 6 - Grade 8,C
2919,Gillette Elem,Harlandale ISD,"625 Gillette Blvd, San Antonio, TX 78221",Prekindergarten - Grade 5,B
2920,Gilmer Elem,Gilmer ISD,"1625 US Hwy 271 N, Gilmer, TX 75644",Early Education - Grade 4,B
2921,Gilmer HS,Gilmer ISD,"850 Buffalo, Gilmer, TX 75644",Grade 9 - Grade 12,B
2922,Gilmer Int,Gilmer ISD,"1623 US Hwy 271 N, Gilmer, TX 75644",Grade 5 - Grade 6,B
2923,Ginger Mcnabb Elem,Spring ISD,"743 E Cypresswood Dr, Spring, TX 77373",Prekindergarten - Grade 5,A
2924,Ginnings Elem,Denton ISD,"2525 Yellowstone, Denton, TX 76209",Kindergarten - Grade 5,C
2925,Givens Early Childhood Center,Paris ISD,"655 Martin Luther King Jr Dr, Paris, TX 75460",Early Education - Prekindergarten,C
2926,Gladewater HS,Gladewater ISD,"2201 W Gay Ave, Gladewater, TX 75647",Grade 9 - Grade 12,C
2927,Gladewater MS,Gladewater ISD,"414 S Loop 485, Gladewater, TX 75647",Grade 6 - Grade 8,B
2928,Gladewater Pri,Gladewater ISD,"100 Gay Ave, Gladewater, TX 75647",Early Education - Grade 1,C
2929,Gladys Polk Elem,Brazosport ISD,"600 Audubon Woods Dr, Richwood, TX 77531",Prekindergarten - Grade 4,A
2930,Glass Elem,Northside ISD,"519 Clearview Dr, San Antonio, TX 78228",Prekindergarten - Grade 5,C
2931,Gleason Elem,Cypress-Fairbanks ISD,"9203 Willowbridge Park Blvd, Houston, TX 77064",Prekindergarten - Grade 5,A
2932,Glen Couch Elem,Garland ISD,"4349 Waterhouse Dr, Garland, TX 75043",Early Education - Grade 5,B
2933,Glen Cove Elem,Ysleta ISD,"10955 Sam Snead Dr, El Paso, TX 79936",Early Education - Grade 5,A
2934,Glen Loch Elem,Conroe ISD,"27505 Glen Loch Dr, The Woodlands, TX 77381",Kindergarten - Grade 4,A
2935,Glen Oaks Elem,McKinney ISD,"6100 Glen Oaks Dr, McKinney, TX 75070",Kindergarten - Grade 5,B
2936,Glen Park Elem,Fort Worth ISD,"3601 Pecos St, Fort Worth, TX 76119",Early Education - Grade 5,B
2937,Glen Rose Elem,Glen Rose ISD,"601 Stadium Dr, Glen Rose, TX 76043",Early Education - Grade 2,B
2938,Glen Rose HS,Glen Rose ISD,"901 Stadium Dr, Glen Rose, TX 76043",Grade 9 - Grade 12,A
2939,Glen Rose Int,Glen Rose ISD,"201 Allen Ln, Glen Rose, TX 76043",Grade 3 - Grade 5,B
2940,Glen Rose JH School,Glen Rose ISD,"805 College St, Glen Rose, TX 76043",Grade 6 - Grade 8,B
2941,Glenda Dawson HS,Pearland ISD,"2050 Cullen Blvd, Pearland, TX 77581",Grade 9 - Grade 12,A
2942,Glenhope Elem,Grapevine-Colleyville ISD,"6600 Glenhope Cir, Colleyville, TX 76034",Kindergarten - Grade 5,A
2943,Glenmore Elem,San Angelo ISD,"323 Penrose St, San Angelo, TX 76903",Prekindergarten - Grade 5,B
