,School Name,School District,Street Address,Grades Served,Overall Rating
2717,Fred Elem,Warren ISD,"140 County Rd 4650, Fred, TX 77616",Prekindergarten - Grade 5,B
2718,Fred H Tally Elem,Kerrville ISD,"1840 Goat Creek Pkwy, Kerrville, TX 78028",Kindergarten - Grade 5,B
2719,Fred Moore HS,Denton ISD,"815 Cross Timber St, Denton, TX 76205",Grade 9 - Grade 12,A
2720,Fred Roberts MS,Pasadena ISD,"13402 Conklin Ln, Houston, TX 77034",Grade 5 - Grade 6,B
2721,Fred W Edwards Academy AEC,Temple ISD,"300 S 27th St, Temple, TX 76504",Grade 9 - Grade 12,B
2722,Fred and Patti Shafer Elem,Katy ISD,"5150 Ranch Point Dr, Katy, TX 77494",Prekindergarten - Grade 5,A
2723,Fredda Nottingham Alternative Education Center,Dayton ISD,"302 S Cleveland St, Dayton, TX 77535",Grade 11 - Grade 12,Not Rated
2724,Freddy Gonzalez Elem,Edinburg CISD,"2401 S Sugar Rd, Edinburg, TX 78539",Prekindergarten - Grade 5,A
2725,Frederick A Douglass Learning Academy,Cleveland ISD,"900 Samuel Wiley Dr, Cleveland, TX 77327",Grade 10 - Grade 12,B
2726,Frederick Douglass Elem,Dallas ISD,"226n Jim Miller Rd, Dallas, TX 75227",Early Education - Grade 5,Not Rated
2727,Fredericksburg Elem,Fredericksburg ISD,"1608 N Adams, Fredericksburg, TX 78624",Grade 2 - Grade 5,C
2728,Fredericksburg HS,Fredericksburg ISD,"1107 Hwy 16 S, Fredericksburg, TX 78624",Grade 9 - Grade 12,B
2729,Fredericksburg MS,Fredericksburg ISD,"110 W Travis St, Fredericksburg, TX 78624",Grade 6 - Grade 8,B
